link,text,date,No_of_Likes,No_of_Retweets
https://twitter.com/bbcpress/status/1734202572456509794#m,🎄 Oh no they didn’t! Oh yes they did! Who said to enjoy pantomime you have to be a kid?  Head to Sherwood Forest on @BBCiPlayer with the @CBeebiesHQ crew. And if you're looking for Robin Hood… he’s behind you!  Watch ▶️ https://bbc.in/3tftW2T,"Dec 11, 2023 · 1:24 PM UTC",32,12
https://twitter.com/bbcpress/status/1733571556104716776#m,🎄 All I want for Christmas is Who!  The trailer for #DoctorWho Christmas Special The Church on Ruby Road is here!  Watch now ➡️ https://bbc.in/3RjFQ3N,"Dec 9, 2023 · 7:37 PM UTC",373,52
https://twitter.com/bbcdoctorwho/status/1733192219580903609#m,"24 hours to go!! And now, a word of warning from Russell T Davies... 👀  #DoctorWho: The Giggle, arriving 6:30pm GMT Saturday 9th December, on @BBCOne in the UK and Ireland, @BBCiPlayer in the UK and @DisneyPlus in the rest of the world.","Dec 8, 2023 · 6:30 PM UTC",8602,1502
https://twitter.com/BBCRadio4/status/1732736108234997885#m,British poet Benjamin Zephaniah has died at the age of 65.  He was known for being one of the country’s most prolific literary voices and credited with creating “dub poetry”  He was diagnosed with a brain tumour and a statement confirmed he died in the early hours of Thursday.,"Dec 7, 2023 · 12:17 PM UTC",497,114
https://twitter.com/bbcpress/status/1732777641717981271#m,"Miss Austen is coming to the BBC  With a star-studded cast led by Keeley Hawes and Rose Leslie, filming is now underway on this four-part adaptation of Gill Hornby’s best-selling and much loved novel.  Take a look 📸➡️ bbc.co.uk/mediacentre/2023/m… 📸 Robert Viglasky","Dec 7, 2023 · 3:02 PM UTC",436,91
https://twitter.com/bbcpress/status/1732053740528517381#m,"🎄🏰 O come all ye Faithfuls, we have BIG news - The Traitors returns on 3 January from 9pm, to banish those winter blues!  Who’ll don the cloak? Who'll cause chaos for fun? Find out in 2024 on @BBCiPlayer and @BBCOne  Get all the info ➡️ https://bbc.in/3NcOujc","Dec 5, 2023 · 3:06 PM UTC",104,21
https://twitter.com/bbcpress/status/1732050233767395451#m,"👻 Go-ho-hosts - Merry Christmas!  You’re cordially invited to join the Ghosts - and Mike’s mum, Betty - at Button House from 7.45pm on Christmas Day on @BBCOne and @BBCiPlayer   Find out more ➡️ https://bbc.in/48lIk8P","Dec 5, 2023 · 2:52 PM UTC",338,71
https://twitter.com/BBC/status/1732052209561461159#m,"#TheTraitors Series 2, coming to #BBCOne & #iPlayer on 3 Jan 2024 👀","Dec 5, 2023 · 3:00 PM UTC",508,101
https://twitter.com/bbcpress/status/1732047859737129416#m,"🎄Merry Christmas to Who, #DoctorWho fans!   The Doctor and Ruby Sunday will officially see you in The Church on Ruby Road on @BBCOne and @BBCiPlayer from 5.55pm on Christmas Day  More ➡️ https://bbc.in/46zAuXO","Dec 5, 2023 · 2:42 PM UTC",1997,338
https://twitter.com/bbcpress/status/1731676401185468815#m,🚨 Date confirmed for The Tourist series two 🚨  Jamie Dornan and Danielle Macdonald are back on New Year’s Day for series two of the hit thriller.  Details ➡️ bbc.co.uk/mediacentre/2023/t…,"Dec 4, 2023 · 2:06 PM UTC",208,59
https://twitter.com/bbcpress/status/1731675380468031919#m,"📢 Further casting's been announced for the return of Wolf Hall  New additions to the stellar cast include Harriet Walter, Timothy Spall and Harry Melling - and there are more familiar faces reprising their series one roles too!  Get all the info ➡️ https://bbc.in/3R5Hupp","Dec 4, 2023 · 2:02 PM UTC",115,22
https://twitter.com/bbcpress/status/1730963638226211165#m,"Strictly Come Dancing - Nigel Harman  ""Unfortunately Nigel has sustained an injury which means he is unable to perform in tonight’s show and has had to withdraw from Strictly.""  - BBC Spokesperson","Dec 2, 2023 · 2:54 PM UTC",538,103
https://twitter.com/bbcpress/status/1730522135485935701#m,"🏰 O come all ye Faithfuls... The Traitors: Uncloaked is coming to the BBC!  Join Ed Gamble and guests for all the best analysis and reaction to the latest betrayals, mind games and manipulations in the new visualised podcast  Learn more ➡️ https://bbc.in/4a3XtNq","Dec 1, 2023 · 9:40 AM UTC",148,32
https://twitter.com/bbcpress/status/1730331560707047466#m,🎄 It’s the most Who-nderful time of the year!  The Doctor and Ruby Sunday’s world collide on Christmas Day in a #DoctorWho special featuring mythical and mysterious goblins - and the one and only Davina McCall!  More ➡️ https://bbc.in/3GlVMgT,"Nov 30, 2023 · 9:02 PM UTC",621,95
https://twitter.com/bbcpress/status/1730194976104198640#m,"🎁 Ready for a Crafty Christmas with Stacey Solomon?  Discover Stacey's crafting tips & tricks in a festive special coming to @BBCOne and @BBCiPlayer  ""For me, home-made, thoughtful gifts that don’t break the bank mean so much more""  Crafting tips ➡️ https://www.bbc.co.uk/mediacentre/mediapacks/stacey-solomon-crafty-christmas","Nov 30, 2023 · 12:00 PM UTC",36,15
https://twitter.com/bbcpress/status/1729810928642806129#m,"📢 Hit drama The Gold is returning to @BBCOne and @BBCiPlayer for a second series!  The critically-acclaimed factual drama is inspired by the true story of the 1983 Brink’s-Mat robbery, and the decades-long chain of events that followed...  More ➡️ https://www.bbc.co.uk/mediacentre/2023/the-gold-series-two/","Nov 29, 2023 · 10:33 AM UTC",142,30
https://twitter.com/bbcpress/status/1729292050896400709#m,🎄 It's the most wonderful time of the year!  And the @BBC Christmas 2023 TV and @BBCiPlayer line-up is bringing the festive spirit to the UK  Get all the info ➡️ https://bbc.in/47ywrfp,"Nov 28, 2023 · 12:12 AM UTC",547,117
https://twitter.com/bbcpress/status/1728009415825973672#m,❤️❤️ There's just one more sleep until the TARDIS lands back on @BBCOne and @BBCiPlayer with first #DoctorWho 60th anniversary special The Star Beast  And the Doctor's reading a @CBeebiesHQ Bedtime Story tonight ahead of the big day!  Sneak a peek ➡️ https://bbc.in/3sLc5Av,"Nov 24, 2023 · 11:15 AM UTC",372,63
https://twitter.com/bbcdoctorwho/status/1727612980676772231#m,"Happy #DoctorWhoDay!   Celebrations are kicking off in Cardiff, with a special water-based projection in Cardiff Bay 🏴󠁧󠁢󠁷󠁬󠁳󠁿   Catch the show from tonight until Saturday, every half hour between 5.30pm and 9.30pm.","Nov 23, 2023 · 9:00 AM UTC",5174,900
https://twitter.com/bbcpress/status/1727613998621733132#m,📚 Fancy a bedtimey-wimey story from the Doctor?  #DoctorWho's 14th Doctor is taking a break from time travel to read a CBeebies Bedtime Story!  Watch a clip ➡️ https://bbc.in/3sLc5Av,"Nov 23, 2023 · 9:04 AM UTC",2386,360
https://twitter.com/bbcpress/status/1727397155843772678#m,"✨ Here they are... your first Christmas #Strictly stars!  Dan Snow, Sally Nugent and Jamie Borthwick are the first three contestants waltzing in a winter wonderland in the 2023 Strictly Come Dancing Christmas Special  More ➡️ https://bbc.in/3RcDLIa","Nov 22, 2023 · 6:42 PM UTC",137,23
https://twitter.com/bbcpress/status/1727299087605825987#m,🎶 You'd better believe Cher Meets Rylan is coming to the @BBC!  @BBCTwo and BBC Music are delivering a Christmas present to viewers as legendary singer and actress @cher joins Rylan in conversation in a world exclusive 60-minute special  More info ➡️ https://bbc.in/3MQb155,"Nov 22, 2023 · 12:12 PM UTC",173,33
https://twitter.com/bbcpress/status/1725554349571465576#m,"🎉 From a #DoctorWho treat featuring David Tennant, to Tinky-Winky and a whole host of puppets in the MasterChef kitchen, there's a LOT happening on Children in Need's TV spectacular across @BBCOne and @BBCiPlayer  Get all the info ➡️ https://bbc.in/46pfrHc","Nov 17, 2023 · 4:39 PM UTC",276,62
https://twitter.com/bbcpress/status/1725470863670002073#m,"👀 Those are some fine feathers! 🦜  Here’s what Sir David Attenborough has to say about the mesmerising bird courtship in Sunday's #PlanetEarth3, as a tragopan woos its mate  Watch ▶️ https://bbc.in/47eKqqT","Nov 17, 2023 · 11:08 AM UTC",29,8
https://twitter.com/bbcpress/status/1725482397687280087#m,"✨""That feeling of dancing to live music on that iconic floor for the first time - even now it gives me goosebumps""  Our #Strictly pros share their first Blackpool memories and favourite Tower Ballroom moments ahead of Saturday's Blackpool Special  Read ➡️ https://bbc.in/47z7TCL","Nov 17, 2023 · 11:53 AM UTC",96,27
https://twitter.com/bbcpress/status/1725451123631288523#m,🎶 Do you and 1D have a whole lotta history?  Join Maddie Grace Jepson for new BBC Radio 1 podcast One Direction: A Fan Story on @BBCSounds and take an in-depth look at the impact the boyband and their millions of fans had on cultural history  More ➡️ https://bbc.in/3G8RCIQ,"Nov 17, 2023 · 9:49 AM UTC",36,10
https://twitter.com/bbcpress/status/1725130648149532771#m,"🗺️ Get ready for... Race Across Yorkshire!  Three pairs of TV characters aim for the town of Pudsey with only a map of Yorkshire, a GPS tracker and their wits. Catch the hilarious sketch parody on @BBCCiN this Friday 17 November.  More ➡️ bbc.co.uk/mediacentre/2023/r…","Nov 16, 2023 · 12:36 PM UTC",126,43
https://twitter.com/bbcpress/status/1724738120191537402#m,You’re not ready for Puppet MasterChef…  Find out which puppet legends are joining @JohnTorode1 and @GreggAWallace in the MasterChef kitchen this Friday on @BBCCiN.  More ➡️ bbc.co.uk/mediacentre/2023/b…,"Nov 15, 2023 · 10:36 AM UTC",108,27
https://twitter.com/bbcpress/status/1724504545936445897#m,"📢 Six brave celebrities are taking on Graham Norton's Big Red Chair for Children in Need 2023  Can they impress three kids with their jokes? Or will the lever be pulled, firing the celebs into orbit?  More info ➡️ https://bbc.in/46gY3US","Nov 14, 2023 · 7:08 PM UTC",62,16
https://twitter.com/bbcpress/status/1724008546570744084#m,"Ok, WHO is excited for Friday? 👀  The TARDIS is set to land on BBC Children in Need this week! David Tennant returns as the Fourteenth Doctor on @BBCCiN in an exclusive #DoctorWho scene featuring Mawaan Rizwan.  Read more ➡️ bbc.co.uk/mediacentre/2023/d…","Nov 13, 2023 · 10:17 AM UTC",714,101
https://twitter.com/bbcpress/status/1724125677295645128#m,📸 Your official first look at Nicola Coughlan in #DoctorWho  Nicola is set to make a big impact when she takes a trip though time and space.  More ➡ bbc.co.uk/mediacentre/2023/f…,"Nov 13, 2023 · 6:02 PM UTC",532,57
https://twitter.com/bbcpress/status/1723303305982476406#m,"🎉 Get ready to Rick-Roll into 2024!  After rocking Glastonbury and @BBCRadio2 in The Park, Rick Astley's helping ring in the New Year on @BBCOne and @BBCiPlayer  You wouldn't get this from any other guy 😉  More info ➡️ https://bbc.in/47boddg","Nov 11, 2023 · 11:35 AM UTC",13,4
https://twitter.com/bbcpress/status/1722918249875038657#m,"📺 Meet the cast and creatives of the new action-thriller Boat Story!  It embodies twists and turns with character-driven, surprising storytelling.  ""It's so weird, in a brilliant way.""  More here ➡️ https://www.bbc.co.uk/mediacentre/mediapacks/boat-story","Nov 10, 2023 · 10:04 AM UTC",82,23
https://twitter.com/bbcpress/status/1722548103952114167#m,"📢 Big news for drama fans and Death in Paradise fans!  The BBC will air Return to Paradise, a new Australia-set spin-off from one of the UK’s most watched dramas  Find out more ➡️ https://bbc.in/3uauxDa","Nov 9, 2023 · 9:34 AM UTC",140,37
https://twitter.com/BBCRadio3/status/1722275756083183631#m,Niamh Cusack and @ignatius_sancho understood the assignment 🧾 #BBCShakespeare,"Nov 8, 2023 · 3:31 PM UTC",21,9
https://twitter.com/bbcpress/status/1722186521296482480#m,🎄 Have a Berry Merry Christmas with Mary in the Highlands as she heads to her mother's homeland for a magical Christmas special  Mary reflects on her heritage with fascinating anecdotes about her Scottish roots in Mary Berry’s Highland Christmas  More ➡️ https://bbc.in/3QOrx7d,"Nov 8, 2023 · 9:37 AM UTC",67,11
https://twitter.com/bbcpress/status/1722008847928184943#m,"🎭 There's much ado about something across the BBC...  Celebrate 400 years of Shakespeare's First Folio on TV, @BBCiPlayer, Radio & @BBCSounds, where you can watch and listen to Shakespeare's works and learn about his life and writing  Get all the info ➡️ https://bbc.in/3u5rmwo","Nov 7, 2023 · 9:51 PM UTC",137,48
https://twitter.com/bbcpress/status/1721840887049728122#m,"📢 Further casting announced to join Jenna Coleman in the BBC thriller The Jetty  The four-part series asks big questions about sexual morality, identity and memory  Find out more ➡️ https://www.bbc.co.uk/mediacentre/2023/further-casting-announced-for-new-bbc-drama-the-jetty","Nov 7, 2023 · 10:43 AM UTC",62,24
https://twitter.com/bbcpress/status/1721603606451777990#m,"🗺️ Ready, steady, go... again! Celebrity Race Across The World is officially returning for a second series on @BBCOne and @BBCiPlayer   Find out more ➡️ https://bbc.in/3QjGc9S","Nov 6, 2023 · 7:01 PM UTC",202,18
https://twitter.com/bbcpress/status/1721563564677234795#m,📢 The BBC Comedy Festival is coming to Glasgow in May 2024!  The Festival will kick start a year of development and production opportunities in the nation supported by Screen Scotland.  Read more ➡️ https://www.bbc.co.uk/mediacentre/2023/bbc-comedy-festival-glasgow,"Nov 6, 2023 · 4:21 PM UTC",50,20
https://twitter.com/BBC/status/1720387845108687199#m,Calling all wannabe Traitors & Faithfuls! 😈😇   Apply for #TheTraitors Series Three here 👉 bbc.co.uk/takepart #iPlayer,"Nov 3, 2023 · 10:30 AM UTC",46,17
https://twitter.com/bbcpress/status/1720231247606161595#m,🏰 Fancy another one?  The Traitors is officially returning for a third series  Find out more ➡️ https://bbc.in/3FGfsf9,"Nov 3, 2023 · 12:07 AM UTC",492,60
https://twitter.com/bbcpress/status/1720171001625842147#m,🚨 This is not a drill 🚨   The Daleks will land once again on #DoctorWho's 60th Anniversary  Find out more ➡️ https://bbc.in/3MsQ4NL,"Nov 2, 2023 · 8:08 PM UTC",1462,246
https://twitter.com/bbcpress/status/1719067134406361413#m,"❤️❤️ ""The word Whoniverse was invented by fans, so it’s time to give it official status"" says #DoctorWho Showrunner Russell T Davies  ""And Tales of the TARDIS is one of the greatest delights of my career""  Learn more ➡️ https://bbc.in/3MoF97H","Oct 30, 2023 · 7:01 PM UTC",608,90
https://twitter.com/bbcpress/status/1719066722089488798#m,"📢 It's OFFICIAL, #DoctorWho fans!  From 1 November, The Whoniverse will become the official name, and dedicated home, for all shows within the orbit of #DoctorWho which will live on @BBCiPlayer - including new six-part series Tales of the TARDIS  More ➡️ https://bbc.in/3MoF97H","Oct 30, 2023 · 7:00 PM UTC",2481,478
https://twitter.com/bbcpress/status/1718929138952626305#m,"👻 Looking for your next spooky podcast or playlist for All Hallow's Eve?    @BBCSounds is filled with ghost stories, witches and the Uncanny, perfect for Halloween. 🎃  More info here ➡️ https://www.bbc.co.uk/mediacentre/articles/2023/spooky-podcasts-halloween-playlists","Oct 30, 2023 · 9:53 AM UTC",18,11
https://twitter.com/BBCSounds/status/1717655751391343033#m,"What's it like to make the Planet Earth III music?  Dan Smith from Bastille, who collaborated on the Hans Zimmer soundtrack, shared his insights on the latest #BBCNewscast...","Oct 26, 2023 · 9:33 PM UTC",293,35
https://twitter.com/bbcpress/status/1718913775447814248#m,🎤 This is not a drill! Take That will be performing an intimate gig for @BBCRadio2 in Concert!  Find out how YOU can be a part of the audience...  More here ➡️ https://www.bbc.co.uk/mediacentre/2023/take-that-radio-2-in-concert-reel-stories,"Oct 30, 2023 · 8:52 AM UTC",116,46
https://twitter.com/bbcpress/status/1717211994703503438#m,👻 Searching for something spooky to watch?  You'll find Halloween movies and plenty of TV chills and thrills on @BBCiPlayer   Get all the info ➡️ https://bbc.in/470WRWA,"Oct 25, 2023 · 4:10 PM UTC",57,17
https://twitter.com/bbcpress/status/1717247423641186519#m,"🚨 Time to make some serious Saturday night plans, #DoctorWho fans!  The TARDIS is returning to Saturday nights on @BBCOne and @BBCiPlayer on 25 November with The Star Beast  Find out more ➡️ https://bbc.in/3MfhKFJ","Oct 25, 2023 · 6:31 PM UTC",1812,430
https://twitter.com/bbcpress/status/1716821223953625497#m,"🔥 ""I’m the pot stirrer! I’m asking those questions that they don't want to ask themselves and they have to answer""  Survivor host Joel Dommett shares behind the scenes secrets from the new series - coming to @BBCOne & @BBCiPlayer from 28 October  More ➡️ https://bbc.in/3MfrgbF","Oct 24, 2023 · 2:17 PM UTC",57,18
https://twitter.com/bbcpress/status/1716784060087804307#m,📢 Exciting #DoctorWho news!  Writers Kate Herron and Briony Redman are joining forces to take viewers on an unforgettable adventure in the new series  Find out more ➡️ https://bbc.in/493gu2b,"Oct 24, 2023 · 11:49 AM UTC",197,33
https://twitter.com/BBCPolitics/status/1715255271251951948#m,Watch the #BBCNewscast Live by-election special  Adam Fleming and Paddy O’Connell bring you everything you need to know about Labour's historic night in Mid Bedfordshire and Tamworth   https://bbc.in/45yM7hb,"Oct 20, 2023 · 6:34 AM UTC",43,16
https://twitter.com/bbcpress/status/1714925759620374681#m,"✨ Meet STAND UNIQU3, the girl group representing the UK at the Junior #Eurovision Song Contest 2023 with song Back To Life   Find out more ➡️ https://bbc.in/46slb3P #JESC2023","Oct 19, 2023 · 8:45 AM UTC",125,29
https://twitter.com/bbcpress/status/1714567778382856701#m,"📞 Good morning #Eurovision, United Kingdom calling...  The BBC's formally confirmed participation in the 2024 Song Contest and all 3 live programmes - both Semi Finals and the Grand Final - will once again be live on @BBCOne & @BBCiPlayer  More ➡️ https://bbc.in/3tETbeU","Oct 18, 2023 · 9:03 AM UTC",267,51
https://twitter.com/BBCTheOneShow/status/1714258170804109548#m,"Planet Earth fans, don’t miss our EXCLUSIVE interview with Sir David Attenborough on #TheOneShow tonight 🤩🌍  He’ll share what viewers can expect from #PlanetEarth3 and the moment from the series that left him speechless! 🙊  Tune in at 7pm 👉 https://bbc.in/3Fmjjxw @BBCEarth","Oct 17, 2023 · 12:32 PM UTC",77,18
https://twitter.com/bbcpress/status/1714181086740115669#m,"📷 Fancy a sneak peek at the next series of Dragons' Den?  We've got first look images of Guest Dragons Gary Neville and Emma Grede, who join the Dragons in the Den at dusk - against the backdrop of the Manchester skyline  More ➡️ https://bbc.in/3FkWwSU","Oct 17, 2023 · 7:26 AM UTC",49,13
https://twitter.com/bbcpress/status/1713836217098260511#m,"""We must now look at the world through a new lens""  Ready for Planet Earth III? Join Sir David Attenborough on @BBCOne and @BBCiPlayer on Sunday 22 October from 6.15pm  Find out more ➡️ https://bbc.in/46SOT1C","Oct 16, 2023 · 8:36 AM UTC",177,57
https://twitter.com/bbcpress/status/1713839725398692306#m,🎂 Blue Peter is 65 years young today!  The very first broadcast of the longest running children’s TV show in the world was on 16 October 1958 - Happy Birthday 🥳   Read more ➡️ https://bbc.in/400f5Fy,"Oct 16, 2023 · 8:50 AM UTC",378,80
https://twitter.com/bbc5live/status/1712790312358232122#m,KSI and Logan Paul were shook by these celeb comments 😂🥵😎  5 Live Breakfast's Rachel Burden puts the online megastars to task with the ultimate 'guess who' 😱  #bbcboxing #ksi #loganpaul #youtuberboxing #loganpaulandksi #ksifury #pauldannis,"Oct 13, 2023 · 11:20 AM UTC",63,13
https://twitter.com/bbcpress/status/1712583878676812107#m,📢 His Royal Highness The Prince of Wales is awarded a green Blue Peter badge as the iconic show celebrates its 65th birthday  Prince William is presented with the badge for his work with The Earthshot Prize  Find out more ➡️ https://bbc.in/400f5Fy,"Oct 12, 2023 · 9:39 PM UTC",704,108
https://twitter.com/bbcpress/status/1712385525842137271#m,"🐱 Here's your first look at the forthcoming Christmas animated adventure, Tabby McTat!  A story set on the streets of London about the warm and wonderful friendship between a musical cat and a talented busker called Fred.  Find out more ➡️ https://www.bbc.co.uk/mediacentre/2023/tabby-mctat-first-look-image","Oct 12, 2023 · 8:31 AM UTC",129,33
https://twitter.com/bbcpress/status/1712040181698597231#m,"✍️ BBC celebrates 400th anniversary of the publication of Shakespeare’s ‘First Folio’ with ambitious season of content across TV, Radio, @BBCiPlayer & @BBCSounds   Find out more ➡️ https://www.bbc.co.uk/mediacentre/2023/shakespeare-first-folio-400-anniversary-pan-bbc-season","Oct 11, 2023 · 9:39 AM UTC",119,53
https://twitter.com/bbcpress/status/1711751889006612834#m,🚨Attention all Doctor Who fans! 🚨  The TARDIS doors are being thrown wide open as @BBCiPlayer welcomes the biggest collection of Doctor Who to the platform  Over 800 episodes of Doctor Who programming will launch on the 1st November! 🤩  More here➡️ https://www.bbc.co.uk/mediacentre/2023/doctor-who-archive-on-bbc-iplayer,"Oct 10, 2023 · 2:33 PM UTC",938,218
https://twitter.com/DavidOlusoga/status/1710356579541815346#m,Episode 2 of my new series #Union  is on BBC 2 next Monday at 9pm - and all episodes are on #iplayer right now. Here's a little clip we made about the series.,"Oct 6, 2023 · 6:09 PM UTC",1592,252
https://twitter.com/bbcpress/status/1709842577602511295#m,"📸 First pictures of This Town, the major new drama from Steven Knight, are here!  The series tells the story of an extended family and four young people who are drawn into an explosive and iconic music scene.  More here ➡️ https://www.bbc.co.uk/mediacentre/2023/this-town-first-look-picutures","Oct 5, 2023 · 8:06 AM UTC",116,39
https://twitter.com/bbcpress/status/1709485227238715644#m,👻 (G)Ho-ho-ho(sts)! Merry Christmas!  Have you heard we're heading back to Button House for one more #BBCGhosts Christmas Special in 2023?  More ➡️ https://bbc.in/3tiA6ii,"Oct 4, 2023 · 8:26 AM UTC",1142,147
https://twitter.com/bbcpress/status/1709282670608359685#m,🎁 We know it's only October but... Nigella Lawson's back on the BBC this Christmas!  She's taking us on a very personal journey through one of her favourite cities in Nigella's Amsterdam Christmas Special  Find out more ➡️ https://bbc.in/3LLSTcf,"Oct 3, 2023 · 7:02 PM UTC",782,67
https://twitter.com/bbcpress/status/1709196824307790210#m,"📢 Have you seen who's teaming up for a new series of Celebrity Antiques Road Trip?  Dynamic celeb duos - including Love Island winners, #Strictly favourites, 80s pop royalty, and The GC - are competing to uncover the most valuable items  Meet them ➡️ https://bbc.in/3PJhzmX","Oct 3, 2023 · 1:20 PM UTC",22,6
https://twitter.com/bbcpress/status/1708779184422563887#m,"📚 Look who's gone Back to School!  Dame Jessica Ennis-Hill, Chloe Kelly, Harry Pinero, Demi Stokes and Leah Williamson OBE recreate nostalgic childhood school photos to launch BBC Children in Need's Schools Fundraising Campaign   Find out more ➡️ https://bbc.in/3ZGWmPe","Oct 2, 2023 · 9:41 AM UTC",32,7
https://twitter.com/bbcpress/status/1707804773737496931#m,"📢 Fancy a musical celebration of #DoctorWho @ 60 in October?  Sunday Night is (Who)sic Night with Jo Whiley on @BBCRadio2 & @BBCSounds with the BBC National Orchestra of Wales & the BBC Singers, conducted by Alastair King  Oh and this trio... 👀  More ➡️ https://bbc.in/3PAq9nS","Sep 29, 2023 · 5:09 PM UTC",1412,230
https://twitter.com/BBC/status/1707802428949803516#m,"""Have the family lied to me all these years?""  Jean was told her mother had died during World War Two. But since discovering more, she'd like to know if her mother died when she was told she did.   #DNAFamilySecrets #iPlayer","Sep 29, 2023 · 5:00 PM UTC",45,7
https://twitter.com/bbcpress/status/1707724826176057397#m,"🏆 Congratulations to those in front of and behind the microphone! The @BBC scooped multiple Gold, Silver & Bronze gongs at the British Podcast Awards - including Podcast of The Year for A Positive Life, narrated by Sam Smith  Read ➡️ https://bbc.in/46cQ0JQ Listen @BBCSounds","Sep 29, 2023 · 11:51 AM UTC",28,16
https://twitter.com/bbcpress/status/1707688446192472156#m,"📸 First look pictures for new BBC drama Lost Boys & Fairies have been unveiled!  The series tells the tender, glittering story of singer and artiste-extraordinaire Gabriel, his partner Andy and their journey to adoption.  See more ➡️ https://www.bbc.co.uk/mediacentre/2023/first-pictures-lost-boys-and-fairies","Sep 29, 2023 · 9:27 AM UTC",185,44
https://twitter.com/BBC/status/1707440029088301431#m,Join historian David Olusoga as he explores the long history of the UK's union and disunion over the centuries.   Watch all episodes of #Union on #iPlayer from 2 Oct,"Sep 28, 2023 · 5:00 PM UTC",202,48
https://twitter.com/bbcthree/status/1707108972006687022#m,"From behind the sofa to behind the scenes! Get ready for a brand new, access-all-areas show when #DoctorWhoUnleashed, hosted by @SteffanPowell, lands on @BBCThree and @BBCiPlayer in the UK this November ❤️❤️➕ 🎬 @bbcdoctorwho","Sep 27, 2023 · 7:04 PM UTC",527,71
https://twitter.com/bbcpress/status/1707108028153999442#m,"📢 It's official! #DoctorWho: Unleashed is landing on @BBCThree and @BBCiPlayer   The brand new access all areas show features excl(who)sive interviews with the stars in front of the camera, as well as those behind it  Find out more ➡️ https://bbc.in/3LCzF8V","Sep 27, 2023 · 7:00 PM UTC",1103,171
https://twitter.com/BBC_Teach/status/1706550165266420006#m,BBC 500 Words 2023 is NOW OPEN for story submissions from all children aged between 5-11 years. ⏰  Competition closes Friday 10 November 2023 at 8pm. For more details and to read the Terms and Conditions and Privacy Notices see below.  #BBC500Words2023,"Sep 26, 2023 · 6:04 AM UTC",200,209
https://twitter.com/BBCPanorama/status/1706266979202482539#m,He was once a crypto billionaire   Now Sam Bankman-Fried is about to go on trial for money laundering and fraud   Watch Downfall of the Crypto King on @BBCiPlayer now and on @BBCOne at 8pm   https://bbc.in/48kyR26,"Sep 25, 2023 · 11:18 AM UTC",132,58
https://twitter.com/bbcpress/status/1706228692526006341#m,"📸 We've got new pictures of Jodie Whittaker, Tamara Lawrance, Bella Ramsey, Siobhan Finneran and Sophie Willan in Time series two  See more ➡️ https://bbc.in/3LAvPgo","Sep 25, 2023 · 8:46 AM UTC",320,68
https://twitter.com/bbcpress/status/1705633482179846232#m,"""If destiny exists, then it is heading for Donna Noble...""  There's a brand new trailer for #DoctorWho's 60th Anniversary Specials and you won't want to miss it  More ➡️ https://bbc.in/3ZJuD0l","Sep 23, 2023 · 5:21 PM UTC",948,168
https://twitter.com/bbcpress/status/1705545478194999789#m,"✨""I don’t think I had a fringe, which is alarming.""  #Strictly's Tess Daly and Claudia Winkleman take a trip down memory lane to celebrate 21 series of glitz, glamour and glorious dancing  Read more ➡️ https://bbc.in/3PrYrJT","Sep 23, 2023 · 11:31 AM UTC",79,18
https://twitter.com/bbcpress/status/1705179009628164481#m,"✨ Ready to Rumba? And Cha Cha, real smooth?  The full song and dance list is out and our celebs are set to dazzle on the dancefloor as #Strictly (tan)goes live on Saturday 23 September  Find out more ➡️ https://bbc.in/48jZggJ","Sep 22, 2023 · 11:15 AM UTC",85,25
https://twitter.com/bbcpress/status/1704491703506260194#m,👻 Boo-tiful news for Ghosts fans!  We're back in Button House on @BBCOne and @BBCiPlayer on Friday 6 October from 8.30pm  Find out more ➡️ https://bbc.in/45Zrpbh,"Sep 20, 2023 · 1:44 PM UTC",399,56
https://twitter.com/bbcpress/status/1704444128879149350#m,"📢 Don't forget, Celebrity Race Across The World kicks off tonight from 9pm on BBC One and BBC iPlayer!  Meet the teams ➡️ https://bbc.in/3ZoU2fj","Sep 20, 2023 · 10:35 AM UTC",53,14
https://twitter.com/bbcpress/status/1704429795772072154#m,"📢 ""The tone of the shows is always open-minded and generous-hearted, while hopefully being funny""  Louis Theroux is back for another series with six new interviewees confirmed  Meet them ➡️ https://bbc.in/3ZnRWfM","Sep 20, 2023 · 9:38 AM UTC",38,16
https://twitter.com/bbcpress/status/1704420747576271027#m,"📢 ""You will go on my first whistle""  Football commentator Guy Mowbray will call all the thrilling action on @BBCOne's Gladiators  Read more ⬇️ https://www.bbc.co.uk/mediacentre/2023/guy-mowbray-to-commentate-on-bbc-ones-gladiators","Sep 20, 2023 · 9:02 AM UTC",28,16
https://twitter.com/BBCTheOneShow/status/1704198200712728758#m,The @EarthshotPrize finalists have been revealed! 🌍  We meet the two British companies that have been nominated for the most prestigious environmental award on the planet 🏆   See more on #TheOneShow 👉 https://bbc.in/3EKXnvQ #EarthshotPrize @celspellman,"Sep 19, 2023 · 6:18 PM UTC",387,83
https://twitter.com/bbcpress/status/1704049510547116096#m,📢 Michael McIntyre teases dramatic turns and tension as The Wheel returns to @BBCOne and @BBCiPlayer on Saturday nights  Find out more ⬇️ https://www.bbc.co.uk/mediacentre/mediapacks/michael-mcintyre-the-wheel,"Sep 19, 2023 · 8:27 AM UTC",39,13
