link,text,date,No_of_Likes,No_of_Retweets
https://twitter.com/bbcpress/status/1821465626726060418#m,"🪩 Shayne Ward is the eighth celebrity contestant taking on the #Strictly cha-cha-challenge in 2024  ""I’m no stranger to live TV, but dancing Latin and Ballroom in front of millions is a whole new level.""  Read more ➡️ https://bbc.in/3SFnBqY","Aug 8, 2024 · 8:37 AM UTC",446,65
https://twitter.com/BBC/status/1821214720671514950#m,What. Is. That. Noise?!  Pip (Emma Myers) confronts Mr Ward (Matthew Baynton) about his involvement in the Andie Bell case. #AGoodGirlsGuidetoMurder #AGGGTM #AGGGTMSeries,"Aug 7, 2024 · 4:00 PM UTC",197,39
https://twitter.com/bbcpress/status/1821173040727625872#m,"Get ready for The Misinvestigations of Romesh Ranganathan  He investigates the lives and deaths of some of the world’s most intriguing cultural icons in a new series, coming to @BBCiPlayer and BBC Two  Get all the info ➡️ https://bbc.in/3WCZbiZ","Aug 7, 2024 · 1:14 PM UTC",42,6
https://twitter.com/bbcpress/status/1821086494355767354#m,"🪩 The only way is #Strictly! Pete Wicks is the seventh celebrity contestant confirmed for 2024.  ""Dancing live in front of the nation every Saturday? Absolutely terrifying"" But he can't wait to get stuck in.  Read more ➡️ https://bbc.in/3WzTm5Y","Aug 7, 2024 · 7:30 AM UTC",556,54
https://twitter.com/bbcpress/status/1821080101435376073#m,"Celebrities Ready? 👀 It’s time for Gladiators: Celebrity Special 🔥  Rob Beckett, Louise Minchin, Joel Dommett and Ellie Taylor are taking on the Gladiators in a one off special for @BBCiPlayer and @BBCOne!  Read more ➡️ bbc.co.uk/mediacentre/2024/g…","Aug 7, 2024 · 7:05 AM UTC",233,31
https://twitter.com/bbcpress/status/1821081692175478823#m,"🪩 #Strictly Come Dancing is Tasha Ghouri's type on paper and she's the sixth celeb contestant confirmed for 2024  ""I’ve been watching the show since I was little – it's a firm Ghouri family favourite - so this is a total dream come true.""  Read more ➡️ https://bbc.in/4dw31RV","Aug 7, 2024 · 7:11 AM UTC",427,54
https://twitter.com/BBC/status/1820828009760211217#m,Don't let Barney see this...  Emma Myers and Zain Iqbal debate whether they prefer cats or dogs better. #AGoodGirlsGuidetoMurder #AGGGTM #AGGGTMSeries,"Aug 6, 2024 · 2:23 PM UTC",110,20
https://twitter.com/bbcpress/status/1820769444450210123#m,"🪩 From @BBCMorningLive to Saturday night live on the ballroom floor - Dr Punam Krishan is the fifth #Strictly celebrity contestant of 2024.  ""This is so out of my comfort zone, but I’m up for the journey and will give it my absolute all.""  Read more ➡️ https://bbc.in/3Ws1y8g","Aug 6, 2024 · 10:30 AM UTC",253,45
https://twitter.com/BBC/status/1820769286723387631#m,Their connection is everything ❤️  Pip (Emma Myers) and Ravi (Zain Iqbal) share a moment in bed. #AGoodGirlsGuidetoMurder #AGGGTM #AGGGTMSeries #PipRavi,"Aug 6, 2024 · 10:30 AM UTC",110,33
https://twitter.com/bbcpress/status/1820766879952126367#m,"🪩 It's a mystery no more! Toyah Willcox is the fourth celebrity heading for the #Strictly ballroom in 2024.  ""This is going to be a wild and wonderful ride, and I'm here for every sparkly second.""  More ➡️ https://bbc.in/46DzQdy","Aug 6, 2024 · 10:20 AM UTC",480,59
https://twitter.com/bbcpress/status/1820765425245786278#m,"🪩 Wynne Evans is waltzing his way into the ballroom as the third celebrity revealed for #Strictly Come Dancing 2024!  ""I’m definitely going to try and combine my love of Opera into one of my routines,"" he says.  Find out more ➡️ https://bbc.in/3yDOpAZ","Aug 6, 2024 · 10:14 AM UTC",630,70
https://twitter.com/BBC/status/1820505476750279000#m,Barney has my heart 🫶  Barney the dog reacts to a scene from A Good Girl's Guide to Murder.  #AGoodGirlsGuidetoMurder #AGGGTM #AGGGTMSeries,"Aug 5, 2024 · 5:01 PM UTC",66,18
https://twitter.com/bbcpress/status/1820419274193666145#m,"From JLS to #SCD - JB Gill is the second celebrity contestant confirmed for #Strictly Come Dancing 2024!  ""From muddy wellies on the fields of my farm to sequins and Glitterballs - I’m here to embrace it all!""  Read more ➡️ https://bbc.in/4dxBXl1","Aug 5, 2024 · 11:19 AM UTC",1215,143
https://twitter.com/bbcpress/status/1820394280197726639#m,"It’s official - Chris McCausland is the first celebrity contestant confirmed for #Strictly Come Dancing 2024  ""If anybody out there is thinking - How the hell is he going to do that? - then rest assured that I am thinking exactly the same thing.”  More ➡️ https://bbc.in/3yoZ8zk","Aug 5, 2024 · 9:39 AM UTC",2005,122
https://twitter.com/BBC/status/1820391797501124659#m,"How well do the #AGGGTM gang know Barney? 🐕  The cast of A Good Girl's Guide to Murder put their knowledge of Pip's dog, Barney, to the test.    #AGoodGirlsGuidetoMurder #AGGGTM #AGGGTMSeries #EmmaMyers","Aug 5, 2024 · 9:30 AM UTC",76,27
https://twitter.com/bbcthree/status/1818640256742404366#m,Meet Gemma and her dad Malcolm. They're functioning... just about ❤️    Daddy Issues coming to #iPlayer on 15 August,"Jul 31, 2024 · 1:30 PM UTC",34,15
https://twitter.com/BBC/status/1818632710060904530#m,"In this gripping original footage from #HellJumper, Volunteer, Chris Parry, races against the threat of nearby Russian troops to rescue a family stuck on Ukraine's frontline. #Ukraine #War #Evacuation #UkraineWar","Jul 31, 2024 · 1:00 PM UTC",51,15
https://twitter.com/bbcpress/status/1818346649615495278#m,"Meet your #CelebrityRaceAcrossTheWorld 2024 line-up!  4 new famous faces are embarking on an epic 12,500km race of a lifetime and you can join them at the starting line in Northern Brazil, on iPlayer and BBC One from 9pm on Wednesday 14 August  More ➡️ https://bbc.in/4dna9jh","Jul 30, 2024 · 6:03 PM UTC",302,59
https://twitter.com/BBC/status/1817898581862363262#m,Details of support for some of the issues raised in this video are available at the BBC Action Line: https://www.bbc.co.uk/programmes/articles/4MmhHDSbdDmTpVJhBs2v4Py/information-and-support-bereavement-and-end-of-life-care,"Jul 29, 2024 · 12:22 PM UTC",3,2
https://twitter.com/BBC/status/1817898579459010951#m,"How #ChrisParry, a British #volunteer, saved hundreds of lives through crowd-funded evacuator missions in Ukraine. #Evacuation #HellJumper #Ukraine #UkraineWar","Jul 29, 2024 · 12:22 PM UTC",35,15
https://twitter.com/BBC/status/1816163940084404524#m,Witness the #war in #Ukraine through unique first-person footage as told by #volunteers risking their lives to save vulnerable people in a war zone. Watch #HellJumper on #iPlayer from 24th June.,"Jul 24, 2024 · 5:30 PM UTC",82,40
https://twitter.com/bbcpress/status/1810381948973453465#m,"Aljaž Škorjanec is returning to #Strictly! 🪩  After a two year hiatus, fan favourite Aljaž is waltzing back onto screens as a Professional Dancer for the brand-new series of Strictly Come Dancing on @BBCOne and @BBCiPlayer  More ➡️ bbc.co.uk/mediacentre/2024/a…","Jul 8, 2024 · 6:34 PM UTC",2940,160
https://twitter.com/BBC/status/1807788809444077707#m,"Off to go and binge the series in one day, see ya 👋  The cast of A Good Girl's Guide to Murder describe the show in 30 seconds. Featuring Emma Myers, Asha Banks, Henry Ashton and Raiko Gohara. #AGoodGirlsGuidetoMurder #AGGGTM #AGGGTMSeries","Jul 1, 2024 · 2:50 PM UTC",211,56
